"","Estimate","dots..2L....1L..","SE","Direct","Indirect","Total"
"latino",-0.0795663965847785,0.0156694234901007,0.278019456820514,-0.0796390508558527,-0.00119395228715014,-0.0808330031430029
"white",0.0558878845729014,0.0156694234901007,0.229738052182747,0.0559389173416306,0.000838638803237743,0.0567775561448683
"black",-0.0574892878592186,0.0156694234901007,0.182042637759,-0.0575417829134534,-0.000862669037085401,-0.0584044519505388
"asian",-0.166902562827551,0.0156694234901007,0.214920927499417,-0.167054966160655,-0.00250449568124961,-0.169559461841905
"poverty",0.165135215948403,0.0156694234901007,0.165583665709072,0.165286005468331,0.00247797534177066,0.167763980810102
"uninsured",-0.106431653079089,0.0156694234901007,0.200149814466019,-0.106528838756782,-0.00159708521528366,-0.108125923972066
"bachelor",-0.0558530525696504,0.0156694234901007,0.227125031469821,-0.0559040535323167,-0.000838116123416451,-0.0567421696557332
"pop.dens",-0.0502960522670108,0.0156694234901007,0.118989299499912,-0.0503419789794449,-0.000754729247727522,-0.0510967082271725
"hh.dens",0.00253261158043034,0.0156694234901007,0.15320599464182,0.00253492417791104,3.80036990326161e-05,0.00257292787694366
"rho",0.0156694234901007,NA,NA,NA,NA,NA
